title,company,location,salary,url,date_posted,description,skills,source
"Data Analyst, People Development",Meta,"Seattle, WA",,https://www.linkedin.com/jobs/view/data-analyst-people-development-at-meta-4222684214?position=21&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=rG4kfAka90Q12i%2BzeHt0Iw%3D%3D,2 weeks ago,,,LinkedIn
Data Analyst,Analytica,"San Antonio, TX",,https://www.linkedin.com/jobs/view/data-analyst-at-analytica-4234158977?position=22&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=jrcW1gQTLklpp34uBExzVA%3D%3D,1 day ago,,,LinkedIn
Data Analyst : 25-05044,"Akraya, Inc.","Palo Alto, CA",,https://www.linkedin.com/jobs/view/data-analyst-25-05044-at-akraya-inc-4232839511?position=23&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=kLOGbwCmA7B%2FVxajHJDCyA%3D%3D,2 days ago,,,LinkedIn
Data Analyst,iConsultera,United States,,https://www.linkedin.com/jobs/view/data-analyst-at-iconsultera-4233930063?position=24&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=Vxj6o0nltuymp2QEPqDBeg%3D%3D,1 day ago,,,LinkedIn
Data Analyst,InterEx Group,United States,,https://www.linkedin.com/jobs/view/data-analyst-at-interex-group-4225642512?position=25&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=Ai4GaDiQnvOzfsNrU0gT2w%3D%3D,1 week ago,,,LinkedIn
"Sr. Analyst, Data & Analytics",Authentic Brands Group,"New York, NY",,https://www.linkedin.com/jobs/view/sr-analyst-data-analytics-at-authentic-brands-group-4229293070?position=26&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=WU8WeatPjoBwX3JOMrfsfw%3D%3D,1 week ago,,,LinkedIn
Data & Analytics Specialist,TikTok,"New York, United States",,https://www.linkedin.com/jobs/view/data-analytics-specialist-at-tiktok-4223782158?position=27&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=GU%2BB3ng5jjLhnSIDOMtSmQ%3D%3D,2 weeks ago,,,LinkedIn
Data Analyst,Analytica,"Falls Church, VA",,https://www.linkedin.com/jobs/view/data-analyst-at-analytica-4234153645?position=28&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=e%2BHCd39r4Qf%2FuzdoD6PDVA%3D%3D,1 day ago,,,LinkedIn
Data Analyst,Jackson Healthcare,"Alpharetta, GA",,https://www.linkedin.com/jobs/view/data-analyst-at-jackson-healthcare-4225851694?position=29&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=hu8SI0iXN5UnBskVF9fsDQ%3D%3D,1 week ago,,,LinkedIn
Data Analyst,IntePros,"North Reading, MA",,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-4233423372?position=30&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=qhmMwzz6epvgLiEbJmSEDA%3D%3D,2 days ago,,,LinkedIn
"Data Analyst, TOM Data Infra Team",Amazon,"Bellevue, WA",,https://www.linkedin.com/jobs/view/data-analyst-tom-data-infra-team-at-amazon-4234433462?position=31&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=Y0Bj0SbIOwLvckRCfnZshQ%3D%3D,3 days ago,,,LinkedIn
Data Analyst,Numero Data,"Herndon, VA",,https://www.linkedin.com/jobs/view/data-analyst-at-numero-data-4233032880?position=32&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=bZTxo6cLh2irD0AahWshWw%3D%3D,2 days ago,,,LinkedIn
Junior Data Analyst,Mosaic North America,Dallas-Fort Worth Metroplex,,https://www.linkedin.com/jobs/view/junior-data-analyst-at-mosaic-north-america-4231466804?position=33&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=pfrU%2B%2Fl8xB7sUfmLLZ6l6g%3D%3D,4 days ago,,,LinkedIn
Data Analyst,ESB Advertising,"Falls Church, VA",,https://www.linkedin.com/jobs/view/data-analyst-at-esb-advertising-4229314435?position=34&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=LVZbAaghydZR%2BDn%2BLMZXMQ%3D%3D,1 week ago,,,LinkedIn
"Junior Analyst, Data Analytics",Confidential,"Nevada, United States",,https://www.linkedin.com/jobs/view/junior-analyst-data-analytics-at-confidential-4227046939?position=35&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=RwIFYBxeC0UUEBTBZb6oaw%3D%3D,2 weeks ago,,,LinkedIn
